storeId,departmentId,ma,ar,nDiff,baseLineMAE,actualMAE
9.0,33.0,1.0,1.0,0.0,1061.4516666666668,919.1398374396337
9.0,52.0,1.0,1.0,0.0,223.58666666666667,151.30184298789877
9.0,82.0,1.0,1.0,0.0,1238.2691666666667,651.058503029394
9.0,96.0,5.0,1.0,0.0,422.32333333333327,349.31152184191114
10.0,5.0,4.0,1.0,0.0,8848.66416666667,7583.160369765855
10.0,12.0,6.0,2.0,0.0,575.0300000000001,461.4240480787658
10.0,18.0,3.0,8.0,0.0,11358.796666666667,10651.698771389772
10.0,19.0,2.0,1.0,0.0,355.7225,253.4903694544804
10.0,37.0,1.0,1.0,0.0,295.93333333333334,230.8069696522874
10.0,40.0,8.0,6.0,0.0,3431.979999999998,2227.760102076103
10.0,42.0,3.0,1.0,0.0,663.475,596.6533289332647
10.0,49.0,5.0,1.0,0.0,2935.171666666667,1638.8935746584993
10.0,60.0,2.0,1.0,0.0,80.25,59.32761917585665
10.0,80.0,8.0,1.0,1.0,362.93000000000006,348.8428980746424
10.0,82.0,1.0,1.0,0.0,1772.849166666667,1348.641349170124
10.0,83.0,4.0,1.0,0.0,51.21333333333334,36.33083788622552
10.0,85.0,1.0,1.0,0.0,416.2016666666666,296.9986314982579
10.0,91.0,1.0,6.0,0.0,1217.6516666666664,905.7040650043228
10.0,92.0,4.0,1.0,0.0,2314.526666666667,2272.1593754540395
10.0,98.0,1.0,1.0,0.0,247.83916666666664,222.8264622152607
11.0,5.0,4.0,1.0,0.0,4729.235833333333,4232.427116784507
11.0,6.0,4.0,1.0,0.0,1677.7325,1427.2648282156445
11.0,7.0,1.0,1.0,0.0,7391.8125,4584.60511452609
11.0,14.0,1.0,1.0,0.0,2558.178333333333,2053.2244359692254
11.0,21.0,1.0,1.0,0.0,556.365,537.9132169379934
11.0,22.0,2.0,1.0,0.0,1779.1925,1012.8699846954829
11.0,26.0,2.0,1.0,0.0,1543.6474999999994,1369.0057638727894
11.0,31.0,2.0,1.0,0.0,998.0058333333332,932.5670480828926
11.0,38.0,5.0,5.0,0.0,7915.799999999999,7104.428046670211
11.0,40.0,9.0,10.0,0.0,2896.0608333333334,1577.463317231505
11.0,49.0,2.0,1.0,0.0,1551.4175000000002,833.9040077104368
11.0,58.0,10.0,1.0,0.0,1076.5858333333333,787.5948126952468
11.0,71.0,3.0,1.0,0.0,1829.190833333334,1121.1863677398385
11.0,82.0,1.0,1.0,0.0,2401.058333333334,2225.007624049631
11.0,83.0,5.0,4.0,0.0,426.62166666666667,222.38774246198128
11.0,85.0,2.0,1.0,0.0,368.89333333333326,204.83103220402054
11.0,91.0,9.0,10.0,0.0,1897.7433333333338,1740.7824665312576
11.0,93.0,9.0,4.0,0.0,1332.6666666666663,1257.8992134775008
12.0,5.0,4.0,1.0,0.0,3711.2549999999997,3257.2274180491936
12.0,17.0,3.0,1.0,0.0,1107.8291666666667,1007.6962919000952
12.0,19.0,2.0,1.0,0.0,694.3358333333332,456.7342372503217
12.0,22.0,2.0,1.0,0.0,1229.6249999999998,982.3914289756498
12.0,29.0,4.0,1.0,0.0,1221.2291666666667,1032.892332594972
12.0,40.0,9.0,6.0,0.0,3564.9816666666666,1908.5910588660747
12.0,80.0,4.0,1.0,0.0,153.7125,140.63121014447287
12.0,82.0,2.0,1.0,0.0,1201.73,1117.0061498443145
12.0,98.0,4.0,1.0,0.0,300.605,216.49107586559137
13.0,5.0,2.0,1.0,0.0,11671.388333333334,7588.14781765308
13.0,10.0,4.0,2.0,0.0,2264.4133333333334,2002.1967995593916
13.0,11.0,4.0,2.0,0.0,2305.3691666666673,1450.438964625905
13.0,14.0,4.0,5.0,0.0,3623.0950000000007,1966.254703970406
13.0,17.0,2.0,1.0,0.0,1316.1200000000003,1244.663098172154
13.0,19.0,2.0,1.0,0.0,1292.5433333333333,754.7025156608969
13.0,20.0,4.0,1.0,0.0,1290.125,1239.765940073569
13.0,21.0,1.0,1.0,0.0,532.5041666666667,485.19584323948834
13.0,22.0,2.0,5.0,0.0,2245.15,1647.675348724134
13.0,23.0,1.0,1.0,0.0,3844.205833333333,3014.481619630577
13.0,24.0,2.0,5.0,0.0,3823.878333333334,3692.028990369275
13.0,25.0,1.0,1.0,0.0,3069.2983333333336,2672.5034565345222
13.0,27.0,2.0,1.0,0.0,727.9,701.0039520768167
13.0,29.0,2.0,1.0,0.0,654.9183333333334,585.5578600181759
13.0,30.0,8.0,1.0,0.0,702.6158333333336,651.0134331523851
13.0,31.0,2.0,1.0,0.0,2263.6175,2210.4011498540663
13.0,36.0,3.0,1.0,0.0,2689.059166666667,1910.1295802952272
13.0,40.0,6.0,2.0,0.0,5240.671666666666,3118.7807753568777
13.0,49.0,2.0,1.0,0.0,1577.4825,1184.1138408878762
13.0,52.0,4.0,2.0,0.0,923.7533333333331,440.1482410056642
13.0,54.0,1.0,1.0,1.0,39.93666666666667,22.60131733603414
13.0,60.0,1.0,1.0,0.0,131.78333333333333,119.87798618053289
13.0,71.0,1.0,1.0,0.0,1037.3583333333338,911.0816414306605
13.0,85.0,1.0,1.0,0.0,697.8666666666667,621.3410155319672
14.0,5.0,4.0,5.0,0.0,4789.754166666667,3749.726577016452
14.0,6.0,4.0,1.0,0.0,1546.0208333333333,1541.4837655107722
14.0,10.0,2.0,1.0,0.0,4745.68,3930.4193074175655
14.0,12.0,6.0,1.0,0.0,951.8558333333334,655.0379977128731
14.0,13.0,6.0,2.0,0.0,11910.959166666666,4081.608402457226
14.0,17.0,2.0,1.0,0.0,2913.620833333333,1923.6288109895168
14.0,21.0,1.0,1.0,0.0,1654.0383333333336,1302.4980085629704
14.0,22.0,2.0,5.0,0.0,2702.2058333333334,2545.5137071104236
14.0,24.0,1.0,1.0,0.0,2202.8325,1844.7299007718013
14.0,25.0,2.0,1.0,0.0,3391.7641666666673,2314.4426440284074
14.0,26.0,4.0,8.0,0.0,1462.5250000000003,1267.5635995432165
14.0,33.0,1.0,5.0,0.0,2025.7425000000003,1371.060706918849
14.0,40.0,2.0,2.0,0.0,11906.9375,10824.854810987423
14.0,44.0,2.0,1.0,0.0,638.1608333333334,595.5227756927152
14.0,54.0,1.0,5.0,1.0,55.051666666666655,32.23916871747133
14.0,55.0,4.0,1.0,0.0,3383.6550000000007,3145.262067393926
14.0,58.0,1.0,1.0,0.0,8279.458333333334,7601.546734928154
14.0,71.0,4.0,1.0,0.0,1682.5824999999995,1648.464438311002
14.0,72.0,4.0,1.0,0.0,19681.883333333335,10073.002838302988
14.0,82.0,1.0,1.0,0.0,6509.125,4554.429696941787
14.0,85.0,1.0,1.0,0.0,568.475,326.9254220073371
14.0,87.0,2.0,1.0,0.0,2248.2166666666667,1747.6096580715223
15.0,4.0,5.0,2.0,0.0,661.94,634.8127937632927
15.0,17.0,2.0,1.0,0.0,898.2966666666667,719.2663941539332
15.0,18.0,3.0,4.0,0.0,3433.1199999999994,2768.414820420589
15.0,19.0,1.0,1.0,0.0,182.1575,167.99379855176406
15.0,21.0,1.0,1.0,0.0,336.92833333333334,181.03882490851365
15.0,22.0,1.0,1.0,0.0,1297.0825000000002,893.1100863196874
15.0,23.0,1.0,1.0,0.0,2116.5325000000007,1847.2038343015304
15.0,25.0,2.0,1.0,0.0,1233.6274999999998,855.4318008938217
15.0,27.0,4.0,1.0,0.0,272.6266666666666,189.73760309975327
15.0,29.0,1.0,1.0,0.0,646.0916666666666,563.2568391997404
15.0,34.0,4.0,1.0,0.0,1759.4925,1430.2593413742954
15.0,35.0,2.0,1.0,0.0,737.0483333333333,703.5393636563409
15.0,42.0,4.0,1.0,0.0,436.9733333333332,277.3438953759768
15.0,44.0,3.0,1.0,0.0,468.58250000000004,318.1664051974448
15.0,54.0,2.0,1.0,0.0,26.236666666666665,21.107742615548197
15.0,59.0,3.0,1.0,0.0,75.31249999999999,59.796892987239296
15.0,71.0,1.0,1.0,0.0,637.4958333333336,597.8057554510611
15.0,79.0,1.0,1.0,0.0,556.6399999999996,477.8101008771614
15.0,81.0,8.0,1.0,0.0,308.8716666666667,183.18420257757728
15.0,82.0,1.0,1.0,0.0,954.5275,752.5341967994735
15.0,83.0,8.0,2.0,0.0,74.63666666666667,45.093503206343506
15.0,90.0,4.0,1.0,0.0,263.71333333333337,228.91875336239195
16.0,1.0,8.0,9.0,0.0,1788.845,1270.27147384588
16.0,4.0,4.0,1.0,0.0,962.0850000000004,759.7503188039417
16.0,5.0,4.0,1.0,0.0,1726.1449999999998,1355.78152680285
16.0,8.0,6.0,1.0,0.0,701.170833333333,595.9022792496343
16.0,10.0,6.0,1.0,0.0,1420.2866666666662,1076.7711378375377
16.0,13.0,5.0,1.0,0.0,573.0716666666664,568.120701118581
