storeId,departmentId,ma,ar,nDiff,baseLineMAE,actualMAE
1.0,1.0,2.0,6.0,1.0,1456.2783333333336,15218.14849817447
1.0,8.0,4.0,3.0,1.0,3887.0624999999995,46508.09447493218
1.0,9.0,2.0,1.0,0.0,4256.006666666667,8682.155137256335
1.0,10.0,1.0,1.0,0.0,1991.1616666666666,3260.996761028608
1.0,11.0,10.0,1.0,0.0,1610.0025000000003,4942.126858759985
1.0,13.0,9.0,8.0,1.0,2105.3308333333352,40306.30493814699
1.0,14.0,4.0,5.0,0.0,1227.0416666666663,2097.37742942785
1.0,16.0,8.0,5.0,0.0,2650.419166666666,6120.817769816859
1.0,17.0,2.0,1.0,0.0,384.4883333333335,793.9889836075187
1.0,20.0,4.0,1.0,0.0,496.43749999999983,599.1437777030663
1.0,23.0,1.0,1.0,0.0,1708.0008333333333,2876.84659820115
1.0,24.0,2.0,1.0,0.0,2371.5924999999993,2934.423595711351
1.0,25.0,2.0,1.0,0.0,878.2533333333331,1355.066032332206
1.0,27.0,3.0,1.0,0.0,218.90666666666667,304.48149764201327
1.0,28.0,0.0,3.0,1.0,71.23500000000001,589.0806370554338
1.0,29.0,2.0,1.0,0.0,305.54999999999995,426.74466320960136
1.0,30.0,7.0,2.0,0.0,329.3833333333334,773.0688512350201
1.0,31.0,2.0,1.0,0.0,1102.3416666666665,1417.243705791958
1.0,32.0,1.0,1.0,0.0,1390.6683333333337,2027.3380014826241
1.0,33.0,1.0,1.0,0.0,1891.2483333333337,2284.041123898415
1.0,34.0,4.0,1.0,0.0,1176.6616666666669,1903.404711913295
1.0,35.0,1.0,1.0,0.0,550.0241666666667,903.8923109633623
1.0,36.0,3.0,1.0,0.0,249.655,983.6649077099687
1.0,37.0,1.0,1.0,0.0,229.82250000000008,231.4524177013326
1.0,41.0,4.0,2.0,1.0,373.3958333333333,632.4337285205129
1.0,44.0,2.0,1.0,0.0,676.8558333333333,1111.1698686717295
