storeId,departmentId,ma,ar,nDiff,shapiroStat,ShapiroValue,ljungStat,ljungValue
1,1,2,52,1,0.9231710377000912,6.309582217404646e-07,21.825708472786054,0.9999275703683765
1,2,52,52,0,0.888330532200947,5.760155205679622e-09,15.424412851261371,0.9999998199421407
1,3,52,52,0,0.7023058426406561,1.149837925223939e-15,18.025587137673913,0.9999969846807644
1,4,52,52,0,0.9534651831085286,9.681106854011139e-05,16.902752109694166,0.9999990357939014
1,5,52,52,0,0.7550074342210834,3.6209919303159385e-14,13.630895056510578,0.9999999830179114
1,6,52,52,0,0.6373095063415702,2.866370167145435e-17,10.927620944759179,0.9999999998033929
1,7,52,52,0,0.49010950270926557,3.095980992253372e-20,6.396172362925894,0.9999999999999984
1,8,52,52,1,0.9586994275215865,0.0002881521913832328,30.187831826630553,0.9933325347758577
1,9,52,52,0,0.9609720885138121,0.0004352205234577684,19.657362643646938,0.9999867365015787
1,10,1,1,0,0.9650430815384408,0.001034133019713247,0.024502897266903856,0.8756121110775146
1,11,52,52,0,0.9794665135358782,0.030254762535164393,10.21819944004155,0.9999999999518312
1,12,52,47,0,0.9929753966435166,0.7083528906250358,7.9730920868642245,0.9999999999771516
1,13,52,29,1,0.9936646462612855,0.7868048273792013,14.925806252440712,0.9855845076075643
1,14,52,52,0,0.7517617916034951,2.8856374626235916e-14,20.03547740366554,0.999981793569452
1,16,52,51,0,0.9437968345613682,1.6329845517381857e-05,20.591949511409595,0.9999539319727007
1,17,52,52,0,0.9138497011208214,1.5279826743346295e-07,21.028496678046764,0.9999599199168322
1,18,45,48,0,0.9268168051092689,1.0892285699134847e-05,18.42569496807877,0.9999648301520955
1,19,23,2,0,0.987918717407824,0.24900386199158853,0.08890072477984697,0.9565230784348518
1,20,4,1,0,0.9453519262926411,2.151023252781021e-05,0.00011452023867075477,0.9914616708143001
1,21,52,52,0,0.9595492107504235,0.0003244056775689255,13.733239315563003,0.9999999803527946
1,22,52,52,0,0.8797132522918001,2.1170659274013615e-09,19.20848554530596,0.9999910058410868
1,23,52,52,0,0.7297163161964179,6.51277217350458e-15,13.262956241341614,0.9999999900670729
1,24,52,52,0,0.8908637077464974,7.801948633296127e-09,15.672452373052556,0.9999997576817672
1,25,52,48,0,0.9405220569705179,9.254854364508839e-06,10.459058912964736,0.9999999980943408
1,26,52,52,0,0.9324885671309855,2.4544232004724145e-06,10.351120417932894,0.9999999999367393
1,27,52,52,0,0.8636893247972046,3.693225696993077e-10,24.755681071685125,0.9995166035219919
1,29,52,52,0,0.815624028121367,3.942871710167315e-12,19.41879399939841,0.999989192071708
1,30,52,1,0,0.9620029744601594,0.0005399654695351371,0.002857070579041554,0.9573721151734732
1,31,52,52,0,0.7464847055003345,2.003938706900367e-14,12.684252200682677,0.9999999958977545
1,32,52,52,0,0.5643910412764511,7.827281401934334e-19,19.96480732503946,0.9999828280126211
1,33,52,52,0,0.9238834861786728,6.493918333361696e-07,15.020458728962115,0.9999998905781604
1,34,4,1,0,0.9863909844519108,0.17184441792196714,4.2980823245960644e-05,0.9947691253221996
1,35,1,1,1,0.9841539908842502,0.1007975959466762,0.9184669756305676,0.33787781660201044
1,36,52,52,0,0.9313798670214111,2.057559655844862e-06,17.284484695564387,0.9999985620260735
1,37,1,52,0,0.9804510434522364,0.03870217146570621,28.861380764408718,0.9961612301477749
1,38,13,4,0,0.9400356883009352,8.518135690370058e-06,0.5154426168350492,0.9719803311964398
1,40,52,52,0,0.9476910088665403,3.280017984986021e-05,23.08559118210007,0.9998277614578501
1,41,52,47,1,0.9705603296023494,0.003711366924032984,7.443432068981989,0.9999999999941543
1,42,2,2,0,0.9904588216805781,0.4428090531296271,0.03304325845739435,0.9836141043461791
1,44,52,50,0,0.9331295364160577,2.7198495919599172e-06,11.338581664282973,0.9999999980454112
1,46,52,52,0,0.5111849699846038,7.451175220184508e-20,6.715457313045423,0.9999999999999953
1,48,3,52,0,0.9539775979763226,0.00031450445962840436,16.00222356787964,0.9999996439458878
1,49,1,51,0,0.9886823027848276,0.2980618786170034,9.707387743528704,0.9999999999621589
1,52,3,1,0,0.9836511317830124,0.08664661843134844,0.01157702742800658,0.914315697472159
1,54,22,1,0,0.8691383018502671,1.7859090207835961e-09,0.05523580581672876,0.814190889499554
1,55,52,52,0,0.767859440449653,9.089101328589669e-14,24.453981868148198,0.9995951556052486
1,56,52,52,0,0.8259421518716812,9.70608529524353e-12,21.66109649576877,0.9999357152485554
1,59,52,51,0,0.3043143006830965,3.654587648052746e-23,0.8804766892991658,1.0
1,60,52,52,1,0.94116633712394,1.1057402155578012e-05,21.73178193658816,0.9999323242488354
1,67,52,52,0,0.8775999794540419,1.6678547618393586e-09,20.656900505921865,0.9999699576959326
1,71,52,52,0,0.9362503465400227,4.5190155639229865e-06,8.703018175412678,0.9999999999984691
1,72,52,52,0,0.5667072752049007,8.712823732149706e-19,20.127885669502604,0.9999803558254469
1,74,1,52,0,0.9560848821164517,0.00016147056897175828,12.528951304631816,0.999999996793328
