storeId,departmentId,ma,ar,nDiff,baseLineMAE,actualMAE
1.0,4.0,4.0,4.0,0.0,1751.6241666666658,1677.375425550462
1.0,5.0,4.0,1.0,0.0,3918.0575000000003,3255.0189182701342
1.0,12.0,5.0,2.0,0.0,1401.3975000000003,855.9583605862412
1.0,18.0,3.0,1.0,0.0,6614.623333333334,4227.1128764087
1.0,19.0,9.0,2.0,0.0,268.71999999999997,200.05838348727843
1.0,21.0,1.0,1.0,0.0,764.185,481.6779427280556
1.0,22.0,2.0,1.0,0.0,1337.5516666666665,922.940133756177
1.0,26.0,2.0,1.0,0.0,1613.6475,1345.220308674908
1.0,38.0,9.0,4.0,0.0,7368.253333333333,6292.239813827465
1.0,40.0,9.0,4.0,0.0,2556.491666666668,1752.60354241987
1.0,42.0,2.0,2.0,0.0,814.2699999999999,603.414577984735
1.0,48.0,3.0,1.0,0.0,878.0,749.8519008342837
1.0,49.0,1.0,1.0,0.0,1933.0858333333333,1377.1585268595409
1.0,52.0,3.0,1.0,0.0,405.9525000000001,377.124186766279
1.0,54.0,10.0,1.0,0.0,40.931666666666665,26.99230266500157
1.0,82.0,1.0,1.0,0.0,1295.6674999999989,1219.1459344987345
1.0,83.0,5.0,10.0,0.0,800.7033333333335,420.4401437947866
2.0,4.0,4.0,4.0,0.0,2033.521666666665,1647.9033648902594
2.0,7.0,2.0,5.0,0.0,7659.115000000001,7341.004229586225
2.0,9.0,1.0,5.0,0.0,4764.710833333334,3992.82896072507
2.0,12.0,7.0,2.0,0.0,928.9591666666665,491.47090988437844
2.0,17.0,2.0,1.0,0.0,767.7499999999999,702.1894478516406
2.0,18.0,4.0,1.0,0.0,9699.135,6504.9605202927605
2.0,25.0,1.0,1.0,0.0,2205.7858333333334,1907.6060489405925
2.0,26.0,3.0,1.0,0.0,1505.4508333333335,1238.7341022644382
2.0,34.0,2.0,1.0,0.0,2309.148333333333,2080.504955953323
2.0,37.0,2.0,1.0,0.0,477.28999999999996,418.32268051667097
2.0,40.0,9.0,2.0,0.0,6235.374999999997,2566.113720457448
2.0,41.0,1.0,1.0,0.0,1357.6741666666665,494.1223794545959
2.0,49.0,2.0,1.0,0.0,2669.1499999999996,2275.922322854016
2.0,52.0,3.0,1.0,0.0,894.6866666666665,287.82489310035135
