storeId,departmentId,ma,ar,nDiff,shapiroStat,ShapiroValue,ljungStat,ljungValue
1,1,2,6,1,0.9324707554019531,2.6317400378998264e-06,0.784354958230209,0.992486607810602
1,3,3,1,0,0.7003994819849573,1.0236413481786318e-15,0.02317236480868767,0.8790096989021223
1,4,4,4,0,0.9589677264745413,0.0002880546274272024,0.04883962829583201,0.9997066462431674
1,5,4,1,0,0.732854238684153,8.006294092146182e-15,0.00011872600761691104,0.9913063049978377
1,7,2,5,0,0.6199681347057993,1.1631973706695386e-17,0.4485132949641331,0.9938874646856716
1,8,4,3,1,0.9698867120326305,0.0031821211435294813,7.105038093648981,0.06862414898385091
1,9,3,1,0,0.929461755031493,1.5220180444239076e-06,0.013564552065796954,0.9072824723652051
1,10,1,1,0,0.9650430815384408,0.001034133019713247,0.024502897266903856,0.8756121110775146
1,11,10,1,0,0.9593447398769236,0.0003111027119806642,0.06555085622030178,0.7979284335375878
1,12,5,2,0,0.9906945392242349,0.46522395394724947,0.019323228133767904,0.9903849093752345
1,13,9,8,1,0.986813138445539,0.19440828083288253,8.769489472409557,0.36211329686900473
1,14,4,5,0,0.7592482325635127,4.8870142744004725e-14,0.1418539389612359,0.9996167344840076
1,16,8,5,0,0.9708135812691676,0.003767017499816405,0.28214337155799857,0.9979654940969871
1,17,2,1,0,0.8896929122325333,6.777462364686172e-09,0.008397217402720824,0.9269869838573026
1,18,3,1,0,0.8966531265032376,2.6311807682625274e-07,0.07684006732760662,0.7816262247934067
1,19,9,2,0,0.9735434389516255,0.007138792860989712,0.04487612116659182,0.9778118004102556
1,20,4,1,0,0.9453519262926411,2.151023252781021e-05,0.00011452023867075477,0.9914616708143001
1,21,1,1,0,0.9235938823500489,6.219061638115284e-07,0.0016824973853896735,0.9672813413420357
1,22,2,1,0,0.7829088840345566,2.7979508865691137e-13,0.005495436492517713,0.9409059805321501
1,23,1,1,0,0.7700917361793284,1.0703448471345847e-13,0.0006415004540975419,0.9797934525889768
1,24,2,1,0,0.9016611965666075,2.9933156792423956e-08,0.0037626275341607097,0.951088228066068
1,25,2,1,0,0.9590170664014263,0.00029096604230411207,0.0035159522765731916,0.9527167724483332
1,26,2,1,0,0.898023597754216,1.8845832085513093e-08,0.07088730259783756,0.7900492229859504
1,27,3,1,0,0.8677323785130823,5.663467678755967e-10,0.0017280069963298333,0.9668420443114301
1,29,2,1,0,0.8297092984581917,1.3608086715253165e-11,0.000825103500772098,0.977084224619318
1,30,7,1,0,0.9708988814452918,0.0038419859712508437,0.013535097697442381,0.9073827376740778
1,31,2,1,0,0.8111976677321151,2.7073588975234678e-12,0.013207430242019182,0.9085056913305061
1,32,1,1,0,0.6625111550200566,1.126974870786251e-16,0.0037904165318141704,0.9509081679142927
1,33,2,1,0,0.9167778580527572,2.3063001668947717e-07,0.0015446241196482929,0.9686498462225174
1,34,4,1,0,0.9863909844519108,0.17184441792196714,4.2980823245960644e-05,0.9947691253221996
1,35,1,1,1,0.9841539908842502,0.1007975959466762,0.9184669756305676,0.33787781660201044
1,36,10,1,0,0.9290853809044783,1.4353543336070396e-06,0.013077542233073945,0.9089547342394316
1,37,1,1,0,0.9857964533717628,0.14833604154400332,6.410290716399574e-07,0.9993611794504957
1,38,9,4,0,0.9631262190057714,0.0006848225419984255,0.7866528404523687,0.9402284287513762
1,40,9,4,0,0.9835910760733736,0.08534507053440434,2.004230168380122,0.7349807869325473
1,41,4,2,1,0.9391921000010596,7.90805007118422e-06,0.12443151420627448,0.9396801222568775
1,42,2,2,0,0.9904588216805781,0.4428090531296271,0.03304325845739435,0.9836141043461791
1,44,3,1,0,0.8880241963870267,5.554261751329689e-09,0.000993987564370554,0.9748488067265381
1,46,1,1,0,0.6254032396157612,1.5380342538542163e-17,0.03439799270985988,0.852862793912539
1,48,3,1,0,0.8582612252432318,1.3870056543310945e-09,0.028369715461833502,0.8662425553503748
1,49,1,1,0,0.9868006352063659,0.19003007005634548,0.013785480905304955,0.9065339019989768
1,52,3,1,0,0.9836511317830124,0.08664661843134844,0.01157702742800658,0.914315697472159
1,54,10,1,0,0.8976812059747571,4.431553196197406e-08,0.13655835150607387,0.7117267362448275
1,55,4,1,0,0.7878652766734211,4.1004555449300513e-13,0.018202615211627023,0.8926774447004372
1,56,6,1,0,0.8565953086328058,1.7786558310588857e-10,0.001015504472770187,0.974578130669993
1,59,2,1,0,0.3662052455704329,2.9049870884020405e-22,0.004416594434936053,0.9470136221341006
1,60,2,3,1,0.9452483026955624,2.2532610669959794e-05,0.7336467082488946,0.8652627995987541
1,67,1,1,0,0.8549383970419704,1.5047541137542944e-10,0.0023389671328185794,0.9614270506167742
1,71,1,1,0,0.87791893963348,1.7286930843296652e-09,0.022064539442679738,0.8819155372932046
1,74,1,1,0,0.878910346742012,1.933067339436682e-09,3.39714071896732e-05,0.9953495565140902
1,79,10,8,1,0.9782661835072519,0.023227098199704685,4.0047470129067975,0.8566949143369041
1,80,3,6,1,0.9267947029833584,1.0875039607503405e-06,1.2644943552516545,0.9735793876981705
1,81,4,8,1,0.9925973336497272,0.6712723266605432,1.3396984274956223,0.995060683080125
1,82,1,1,0,0.5710174455729994,1.064819314840533e-18,0.007212876881239279,0.9323181086211345
1,83,5,10,0,0.9717315550839891,0.004661176908852625,1.8836130001438454,0.9971568209193106
1,85,2,1,0,0.893447517038724,1.06802177396237e-08,0.002106168818147017,0.9633955216018759
1,87,10,8,1,0.9901238013089462,0.41751402460710424,1.9409922897845842,0.9827677184841751
1,90,4,3,1,0.9790031536211695,0.027857356550264886,0.9313856234259829,0.8178478830031438
