storeId,departmentId,ma,ar,shapiroStat,ShapiroValue,ljungStat,ljungValue
1,1,52,60,0.9359761554715195,4.635699678459623e-06,14.850945718749365,0.9999999996101918
1,2,52,52,0.8883309157037222,5.760417915056629e-09,15.42459018315295,0.9999998199034816
1,3,55,60,0.7033764508288053,1.2277038897590494e-15,24.525090633381225,0.9999867690460369
1,4,52,59,0.9526039856151047,8.206201921890368e-05,19.781515331288297,0.9999996470123572
1,5,53,53,0.7541655658735126,3.413245630246591e-14,13.74632806502225,0.99999998991495
